Video,Views,Yesterday,Published
"Chris Brown - Emerald / Burgundy (Audio) ft. Juvenile, Juicy J","7,714,668",912,2019/06
Chris Brown - Survive The Night (Audio),"7,673,093","3,480",2022/06
"Chris Brown - Back To Sleep REMIX (Audio) ft. Usher, ZAYN","7,607,439","2,088",2016/02
Chris Brown - Sex Memories (Audio) ft. Ella Mai,"7,281,736","1,656",2022/06
Chris Brown - Proof (Audio),"7,273,022",456,2015/12
Chris Brown - Lower Body (Audio) ft. Davido,"7,214,422",744,2019/10
Chris Brown - I Can Transform Ya,"6,977,929",288,2009/10
Chris Brown - Picture Me Rollin' (Audio),"6,972,639",408,2015/12
"Chris Brown - Loyal (Edited Version) ft. Lil Wayne, Tyga","6,938,309","1,200",2014/03
Weakest Link,"6,890,456","6,912",2024/04
Chris Brown - I Love Her (Audio),"6,805,545",816,2017/10
Chris Brown - It's Giving Christmas,"6,555,333",576,2022/12
Chris Brown - Sweet Love (Audio),"6,531,381",456,2012/04
Chris Brown - Natural Disaster / Aura (Audio),"6,520,000",792,2019/06
Chris Brown - Hit My Line (Audio),"6,461,490","2,232",2022/07
Chris Brown - Under The Influence (Sped Up) (Audio),"6,262,917","1,776",2022/09
Chris Brown - Need You Right Here (Audio) ft. Bryson Tiller,"6,257,270","1,248",2022/06
Chris Brown - Closure (Audio) ft. H.E.R.,"6,128,777","1,728",2022/06
Chris Brown - Run Away (Visualizer) ft. Bryson Tiller,"6,057,103","3,192",2024/04
Chris Brown - Sip (Audio),"5,999,747",864,2017/10
Chris Brown - Other Niggas (Audio),"5,998,415",168,2017/10
Chris Brown - That's On You (Visualizer) ft. Future,"5,943,640","2,112",2023/11
Chris Brown - Press Me (Visualizer),"5,782,072","2,256",2023/11
"Joyner Lucas, Chris Brown - Stranger Things (Official Music Video)","5,748,879",408,2018/02
Chris Brown - Summer Too Hot (Visualizer),"5,700,759","1,296",2023/06
Chris Brown - Pitch Black (Audio),"5,499,913","1,224",2022/06
Chris Brown - No Time Like Christmas,"5,446,907",456,2022/12
Chris Brown - Temporary Lover (Audio) ft. Lil Jon,"5,423,125",432,2019/06
"Chris Brown - Handle It (Audio) ft. DeJ Loaf, Lil Yachty","5,362,407",288,2017/10
Chris Brown - Tough Love (Audio),"5,358,817",432,2017/10
Chris Brown - Sleep At Night (Audio),"5,299,508","1,656",2022/06
Chris Brown - Roses (Audio),"5,297,879",408,2017/10
Chris Brown - Covered In You (Audio),"5,212,085",528,2017/10
Chris Brown - Tell Me How You Feel (Audio) ft. Tory Lanez,"5,175,727",744,2019/10
Chris Brown - Holy Blindfold (Lyric Video),"5,175,170","5,376",2025/06
"Chris Brown, Young Thug - Trap Back (Audio) ft. Major Nine","5,168,092",336,2020/05
"Chris Brown, Tyga - Ayo (Behind The Scenes)","5,130,908",48,2015/03
Chris Brown - All I Want (Audio) ft. Tyga,"5,072,197",480,2019/06
Chris Brown - Welcome To My Life (Audio) ft. Cal Scruby,"5,048,573",120,2017/06
"Chris Brown, Young Thug - Say You Love Me (Audio)","5,040,163",264,2020/05
Chris Brown - Pull Up (Audio),"4,957,132",504,2017/10
Chris Brown - Reddi Wip (Audio),"4,884,959",408,2017/10
Chris Brown - Juice (Audio),"4,874,039",480,2019/06
Chris Brown - Red (Audio),"4,798,563",576,2019/06
Chris Brown - On Purpose (Audio) ft. AGNEZ MO,"4,790,865",120,2017/12
Chris Brown - Summer Breeze (Audio),"4,788,687",480,2017/10
"Chris Brown - Till The Wheels Fall Off (Audio) ft. Lil Durk, Capella Grey","4,745,757",888,2022/06
Chris Brown - Even (Audio),"4,737,566",912,2017/10
"Chris Brown - Go Crazy (Remix) (Audio) ft. Young Thug, Future, Lil Durk, Latto","4,667,944",312,2021/02
"Chris Brown - It Depends (The Remix) (Audio) ft. Bryson Tiller, Usher","4,659,410","6,504",2025/10
Chris Brown - C.A.B. (Catch A Body) (Official Video) ft. Fivio Foreign,"4,625,973",888,2022/06
"Chris Brown, Young Thug - Big Slimes (Audio) ft. Gunna, Lil Duke","4,537,161",312,2020/05
Chris Brown - KAE (Audio),"4,507,633",216,2015/12
Chris Brown - No Exit (Audio),"4,503,696",624,2017/10
"Chris Brown, Tyga - Ayo (Official Lyric Video)","4,405,980",168,2015/01
Chris Brown - Moonlight (Visualizer),"4,405,480","2,400",2023/11
Chris Brown - Dear God (Audio),"4,321,028",744,2019/06
Chris Brown - All On Me (Audio),"4,241,944","1,248",2019/06
Chris Brown - Trust Issues / Act In (Audio),"4,208,622",480,2019/06
Chris Brown - Next To You (Behind The Scenes) ft. Justin Bieber,"4,194,656",24,2011/07
Chris Brown - Petty (Audio),"4,186,944","1,056",2022/07
Chris Brown - Paradise (Audio),"4,184,670",408,2017/10
"Chris Brown, Young Thug - I Got Time (Audio) ft. Shad Da God","4,162,007",288,2020/05
Chris Brown - Make Up Your Mind (Visualizer),"4,109,205","1,536",2023/11
"Chris Brown - Need A Stack (Audio) ft. Lil Wayne, Joyner Lucas","4,003,608",312,2019/06
Chris Brown - Show It (Audio) ft. Blxst,"3,993,227","1,200",2022/06
Chris Brown - Play Catch Up (Audio),"3,954,721",696,2019/06
Chris Brown - Hmhmm (Audio),"3,912,391",744,2022/06
Chris Brown - My Slime (Visualizer),"3,785,169","2,640",2024/04
Chris Brown - Sensational feat. Davido & Lojay (Official Audio),"3,728,155","1,656",2023/10
Chris Brown - Messed Up (Visualizer),"3,691,575","1,416",2023/11
Chris Brown - Flashbacks (Audio),"3,657,974",504,2019/10
Chris Brown - Sexy (Audio) ft. Trey Songz,"3,646,885",360,2019/06
"Chris Brown - Loyal (East Coast Version) (Audio) ft. Lil Wayne, French Montana","3,645,440",432,2013/12
Chris Brown - Sensei (Audio) ft. A1,"3,635,109",264,2017/10
Chris Brown - Troubled Waters (Audio),"3,621,313",600,2019/06
Chris Brown - Sex So Good (Visualizer),"3,607,705","1,920",2024/04
Chris Brown - Nowhere (Audio),"3,591,117",336,2017/10
Chris Brown - Problem With You (Audio),"3,540,846",480,2019/10
Chris Brown - Hands Up (Audio),"3,506,775",168,2017/12
Chris Brown - Red Flags (Visualizer),"3,495,467","1,464",2023/11
Outy When I Drive/Blamed (Audio),"3,443,993",456,2019/10
Chris Brown - If You're Down (Audio),"3,434,441",264,2017/10
Chris Brown - Hate Me Tomorrow (Audio),"3,432,684","2,688",2022/07
Chris Brown - Hmmm (Visualizer) ft. Davido,"3,349,530",552,2024/04
Chris Brown - No Interruptions (Visualizer),"3,326,922","1,344",2024/04
Chris Brown - Frustrated (Audio),"3,315,578",240,2017/10
Chris Brown - Obvious (Audio),"3,303,026","57,960",2026/04
Chris Brown - Nobody Has To Know (Audio) ft. Davido,"3,295,764",744,2022/07
Chris Brown - Day One (Audio),"3,246,417",264,2015/12
Chris Brown - On Some New Shit (Audio),"3,236,628",768,2022/06
Chris Brown - Trust Me (Audio),"3,205,572",240,2017/12
Chris Brown - Part Of The Plan (Audio),"3,197,976",744,2019/06
Chris Brown - Need A Friend (Visualizer),"3,185,580","1,272",2023/11
Chris Brown - Don't Judge Me (Dave Aude Remix) UK Video (Official Video),"3,177,877",144,2012/11
Chris Brown - Bite My Tongue (Audio),"3,117,457",312,2017/10
Chris Brown - Love More (Behind The Scenes) ft. Nicki Minaj,"3,097,434",24,2013/09
"Chris Brown, Young Thug - She Bumped Her Head (Audio) ft. Gunna","3,084,506",312,2020/05
Chris Brown - No Filter (Audio),"3,084,241",168,2015/12
Chris Brown - Nose Dive (Audio),"3,078,470",408,2019/10
Chris Brown - For The Moment (Official Video),"3,065,298","112,992",2026/05
Chris Brown - Don't Judge Me (Behind The Scenes),"3,062,836",24,2012/10
Chris Brown - Luckiest Man (Audio),"3,050,458","1,416",2022/06
Chris Brown - Midnight Freak (Visualizer),"3,042,147","1,176",2023/11
"Chris Brown - New Flame (Lyric) ft. Usher, Rick Ross","3,037,693",0,2014/09
Chris Brown - Yoppa (Audio) ft. Trippie Redd,"3,037,333",96,2017/12
"Chris Brown, Young Thug - Stolen (Audio)","3,030,829",336,2020/05
Chris Brown - This Ain't (Audio),"3,014,004",432,2017/10
Chris Brown - Feelings Don't Lie (Visualizer),"2,990,433","1,152",2023/11
Chris Brown - Slide (Audio),"2,950,365","1,512",2022/06
Chris Brown - Water (Audio),"2,941,608",192,2017/12
Chris Brown - Technology (Audio),"2,763,244",360,2019/10
Chris Brown - Passing Time (Audio),"2,712,285",840,2022/06
Young Thug - Help Me Breathe (Audio) ft. Future,"2,707,141",144,2020/05
Chris Brown - Go Girlfriend (Visualizer),"2,705,791","1,056",2024/04
Chris Brown - Hurt The Same (Audio),"2,696,902",288,2017/10
Chris Brown - Tell Me What To Do (Audio),"2,650,158",336,2017/10
"Chris Brown - Freak (Visualizer) ft. Lil Wayne, Joyner Lucas, Tee Grizzley","2,622,459","1,008",2024/04
"Chris Brown - Loyal (Behind the Scenes) ft. Lil Wayne, Tyga","2,602,470",48,2014/04
Chris Brown - Harder (Audio),"2,573,413",648,2022/06
Chris Brown - Best Ever (Visualizer) ft. Maeta,"2,568,429",768,2023/11
Chris Brown - Enemy (Audio),"2,566,376",312,2017/10
Chris Brown - Run Away (Audio),"2,553,177",480,2017/10
Chris Brown - Go Girlfriend (Official Video),"2,527,094",936,2024/05
Chris Brown - Take A Risk (Audio),"2,509,031",384,2019/06
"Chris Brown, Young Thug - Animal (Audio)","2,505,922",288,2020/05
Chris Brown - Cheetah (Audio),"2,372,565",384,2019/06
Chris Brown - Throw It Back (Audio),"2,357,926",288,2019/06
Chris Brown - Bad Then A Beach (Audio) ft. Tory Lanez,"2,349,604",456,2022/06
Chris Brown - In The City (Audio),"2,332,749",840,2022/07
Chris Brown - Views (Visualizer),"2,313,581","1,344",2023/11
Chris Brown - You Like (Audio),"2,290,544",168,2017/10
Chris Brown - Very Special (Visualizer),"2,189,831",600,2023/11
Chris Brown - Hangover (Audio),"2,149,218",96,2017/10
Chris Brown - Going At It (Audio),"2,146,626",408,2019/10
Chris Brown - Emotions (Audio),"2,136,172",288,2017/10
Chris Brown - Sweet Lullaby (Visualizer),"2,058,414","1,272",2024/04
Chris Brown - Who's Gonna (NOBODY) (Remix) (Official Audio) ft. Keith Sweat,"2,040,722",48,2016/02
